,name,latitude,longitude,free_bikes
0,10th & Cambie,49.262487,-123.114397,9
1,Yaletown-Roundhouse Station,49.274566,-123.121817,4
2,Dunsmuir & Beatty,49.279764,-123.110154,10
3,12th & Yukon (City Hall),49.260599,-123.113504,6
4,8th & Ash,49.264215,-123.117772,12
5,Spyglass & Seawall,49.270877,-123.115103,1
6,Stamps Landing,49.26893,-123.11813,5
7,Ontario & Seawall,49.271721,-123.104207,15
8,Canada Place,49.287214,-123.11287,8
9,Granville & Georgia,49.282409,-123.118541,0
10,Pender & Burrard,49.287097,-123.118551,4
11,Marinaside & Davie,49.273471,-123.118016,12
12,Robson & Hornby,49.282758,-123.122092,3
13,Hornby & Pender,49.28602,-123.116624,16
14,Homer & Robson (Vancouver Public Library),49.279739,-123.116251,4
15,Beatty & Robson,49.277483,-123.114279,6
16,Beatty & Nelson,49.275679,-123.116963,2
17,Abbott & Cordova,49.282759,-123.106955,19
18,Comox & Denman,49.288444,-123.139203,12
19,Cordova & Bute,49.289124,-123.12196,6
20,Hornby & Nelson,49.28062,-123.12482,5
21,Helmcken & Burrard,49.279938,-123.127478,1
22,Pacific & Richards,49.273663,-123.127075,6
23,Chilco & Beach,49.28972,-123.144028,8
24,Comox & Broughton,49.285253,-123.134356,12
25,Bute & Comox,49.283343,-123.131099,11
26,Cambie & Water,49.284605,-123.108662,10
27,Keefer & Abbott,49.279821,-123.10802,6
28,Expo & Carrall,49.278004,-123.105664,0
29,Keefer & Columbia,49.279342,-123.101822,12
30,Marinaside & Cooperage,49.273833,-123.114373,15
31,Bidwell & Burnaby,49.28526,-123.141809,15
32,Robson & Granville,49.281506,-123.120101,6
33,Expo & Smithe,49.276115,-123.114496,5
34,Cypress & Cornwall,49.272827,-123.147744,13
35,Anderson & 2nd,49.269361,-123.13782,28
36,7th & Granville,49.2653,-123.13811,8
37,10th & Granville,49.262598,-123.138921,1
38,14th & Granville,49.25894,-123.139272,5
39,14th & Cambie,49.258763,-123.115392,1
40,Ontario & 5th,49.266724,-123.104824,10
41,10th & Main,49.262141,-123.101961,2
42,Cypress & 4th,49.268269,-123.147885,9
43,Vanier Park,49.275717,-123.142564,8
44,Nelson & Mainland,49.276436,-123.11877,0
45,Nelson & Richards,49.277844,-123.120942,4
46,7th & Heather,49.265089,-123.119425,12
47,Harwood & Bute,49.28026,-123.135244,12
48,Chilco & Barclay,49.291909,-123.140713,9
49,Chilco & Robson,49.293257,-123.138563,16
50,Nicola & Robson,49.288011,-123.132006,15
51,Carrall & Hastings,49.28117,-123.104419,18
52,šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,49.283227,-123.120523,12
53,Stanley Park - Vancouver Aquarium,49.299292,-123.130281,2
54,Stanley Park - Second Beach North,49.29534,-123.150433,8
55,Stanley Park - Second Beach South,49.294318,-123.148808,9
56,Stanley Park - Totem Poles,49.298657,-123.121176,8
57,Heather & 14th,49.259183,-123.120126,10
58,8th & Ontario,49.263837,-123.105173,5
59,1st & Chestnut,49.270721,-123.146175,26
60,7th & Arbutus,49.265605,-123.152566,4
61,5th & Arbutus,49.267222,-123.153157,2
62,10th & Oak,49.262255,-123.126217,3
63,Arbutus & 16th,49.257654,-123.153212,1
64,Cypress & 14th,49.25919,-123.148268,5
65,Cypress & 16th,49.25741,-123.148531,4
66,Georgia & Thurlow,49.285953,-123.124066,5
67,Thurlow & Pendrell,49.280881,-123.130672,13
68,Heather & 16th,49.256845,-123.120071,5
69,14th & Ontario,49.25849,-123.104799,5
70,14th & Main,49.258425,-123.100792,1
71,David Lam Park,49.270905,-123.126006,12
72,Beach & Seymour,49.273568,-123.129935,14
73,Richards & Helmcken,49.277141,-123.122589,11
74,Burrard & 4th,49.267859,-123.145782,11
75,Burrard & 7th,49.265336,-123.145823,5
76,South False Creek Seawall,49.267628,-123.127698,13
77,Chestnut & McNicoll,49.275938,-123.145939,0
78,Creekside Park North,49.2756,-123.102661,0
79,Alexander & Main,49.284157,-123.099917,0
80,Arbutus Greenway & 14th,49.258924,-123.152591,5
81,Arbutus Greenway & Fir,49.266774,-123.141135,10
82,Kitsilano Beach Park,49.273355,-123.154493,12
83,Arbutus & McNicoll,49.276144,-123.151272,7
84,Vine & 4th,49.268339,-123.157443,8
85,Alexander & Dunlevy,49.284062,-123.095097,0
86,Alder & 11th,49.261742,-123.13148,5
87,10th & Columbia,49.262206,-123.109091,1
88,1st & Manitoba,49.27023,-123.10651,16
89,10th & Ontario,49.262062,-123.104656,0
90,Quebec & 1st,49.27033,-123.10275,17
91,Columbia & 14th,49.258902,-123.109596,8
92,Bute & Davie,49.282224,-123.132778,9
93,7th & Laurel,49.265071,-123.123864,7
94,7th &  Alder,49.265198,-123.131043,13
95,Science World,49.273691,-123.102232,7
96,1st & Scotia,49.2685027,-123.0975014,9
97,Shaw Tower,49.288682,-123.11818,16
98,York & Yew,49.271741,-123.155421,8
99,Pine & 10th,49.262822,-123.14338,19
100,8th & Scotia,49.263635,-123.099236,3
101,Alberni & Jervis,49.28763,-123.127245,12
102,Stanley Park - Information Booth,49.297933,-123.130758,9
103,14th & Alder,49.258819,-123.131317,8
104,Pender & Gore,49.280284,-123.097052,12
105,Carrall & Seawall,49.276294,-123.106534,0
106,Glen & Union,49.277469,-123.081315,10
107,Adanac & McLean,49.277665,-123.073653,22
108,Commercial & Adanac,49.277436,-123.070427,8
109,Pender & Commercial,49.280332,-123.070068,7
110,Keefer & Princess,49.279369,-123.091241,7
111,Alexander & Railway,49.283992,-123.091206,0
112,Napier & Commercial,49.274881,-123.069323,10
