latitude,longitude,fsq_restaurant_number,Fsq_avg_distance,Fsq_avg_price,Fsq_avg_rating
49.238105,-123.154966,10,362.6,1.8,7.866666666666666
49.243375,-123.104978,10,317.1,1.5555555555555556,7.983333333333333
49.245135,-123.116098,8,671.625,1.7142857142857142,6.775
49.245535,-123.120496,10,535.5,1.5555555555555556,6.640000000000001
49.246243,-123.124373,10,362.6,1.375,6.1
49.247204,-123.101549,10,103.8,1.4,8.17
49.247854,-123.153422,5,265.2,1.5,6.5
49.249184,-123.116141,10,721.1,1.6666666666666667,7.257142857142857
49.249722,-123.104991,10,309.2,2.0,7.92
49.25094,-123.101306,10,132.7,1.9,8.03
49.251358,-123.115637,10,640.5,1.7,7.7333333333333325
49.252656,-123.067965,10,616.5,1.8,7.88
49.252691,-123.101289,10,228.3,2.1,8.059999999999999
49.254667,-123.101389,10,217.8,1.7,8.129999999999999
49.254818,-123.114785,10,390.4,1.7,8.120000000000001
49.255034,-123.120226,10,454.7,1.6,8.2375
49.256496,-123.075426,10,625.4,1.6,7.840000000000001
49.256694,-123.096579,10,375.1,1.8,8.190000000000001
49.256825,-123.105234,10,379.9,1.7,8.129999999999999
49.256845,-123.120071,10,390.9,1.5555555555555556,8.155555555555557
49.256857,-123.065646,10,623.2,1.3,7.355555555555556
49.25741,-123.148531,10,727.6,1.625,7.35
49.257654,-123.153212,10,738.3,1.7777777777777777,6.971428571428571
49.257939,-123.089531,10,204.5,1.5,8.17
49.257985,-123.083366,10,517.7,1.6,8.2
49.258352,-123.096337,10,416.0,1.7,8.17
49.258425,-123.100792,10,300.8,1.9,8.14
49.25849,-123.104799,10,400.9,1.7,8.059999999999999
49.258761,-123.127071,10,670.9,1.625,8.028571428571428
49.258763,-123.115392,10,313.1,1.7,8.120000000000001
49.258817,-123.092797,10,326.8,1.5,8.17
49.258819,-123.131317,10,583.8,1.75,7.85
49.258902,-123.109596,10,497.2,1.6,8.209999999999999
49.258924,-123.152591,10,840.5,1.875,7.455555555555555
49.25894,-123.139272,10,238.8,1.6666666666666667,7.790000000000001
49.259183,-123.120126,10,349.5,1.375,7.725
49.25919,-123.148268,10,633.7,1.75,7.459999999999999
49.259469,-123.145718,10,498.2,1.625,7.470000000000001
49.259579,-123.114769,10,360.5,1.7,8.24
49.260599,-123.113504,10,386.4,1.6,8.17
49.261122,-123.097571,10,415.3,1.6,7.959999999999999
49.261188,-123.066009,10,418.2,1.7,7.529999999999999
49.261263,-123.073707,10,423.2,1.7,7.529999999999999
49.261353,-123.085333,10,538.0,1.5,8.17
49.261403,-123.070102,10,285.3,1.7,7.529999999999999
49.26151,-123.089413,10,432.0,1.5,8.17
49.261742,-123.13148,10,509.7,1.7777777777777777,7.4625
49.261973,-123.09725,10,390.0,1.6,7.909999999999999
49.262062,-123.104656,10,372.6,1.6,7.859999999999999
49.262141,-123.101961,10,345.1,1.5,8.02
49.262206,-123.109091,10,387.5,1.7,8.01
49.262242,-123.081459,10,778.9,1.4,7.37
49.262255,-123.126217,10,520.6,1.8571428571428572,7.911111111111111
49.262321,-123.09306,10,482.7,1.6,8.01
49.262487,-123.114397,10,340.8,1.7,8.11
49.262598,-123.138921,10,200.2,2.0,7.76
49.262822,-123.14338,10,269.3,2.111111111111111,7.43
49.262835,-123.152626,10,518.8,1.7777777777777777,7.8
49.262944,-123.148109,10,412.3,1.7777777777777777,7.75
49.263242,-123.070521,10,278.4,1.8,7.65
49.263382,-123.088837,10,578.3,1.5,8.08
49.263518,-123.09568,10,387.2,1.5,7.7700000000000005
49.263523,-123.155267,10,510.9,1.7,8.15
49.263635,-123.099236,10,256.2,1.4,7.87
49.263746,-123.069892,10,263.3,1.7,7.67
49.263837,-123.105173,10,288.9,1.5,7.95
49.263962,-123.112621,10,321.7,1.8,8.059999999999999
49.264019,-123.209176,7,129.71428571428572,1.5714285714285714,6.785714285714286
49.264215,-123.117772,10,295.3,1.875,7.833333333333333
49.264251,-123.073853,10,401.1,1.7,7.65
49.264326,-123.164725,10,401.7,1.3333333333333333,8.077777777777778
49.264466,-123.085183,10,788.8,1.5,8.129999999999999
49.264483,-123.173926,10,308.0,1.7,8.055555555555555
49.264579,-123.18373,10,251.1,1.7,7.675
49.264928,-123.168068,10,341.5,1.4,8.040000000000001
49.265005,-123.079481,10,706.7,1.875,7.65
49.265071,-123.123864,10,476.6,2.1666666666666665,7.74
49.265089,-123.119425,10,375.7,2.142857142857143,7.790000000000001
49.265198,-123.131043,10,549.7,2.111111111111111,7.811111111111111
49.265213,-123.090785,10,607.5,1.4,7.57
49.265242,-123.095577,10,402.8,1.5,7.9
49.2653,-123.13811,10,256.4,2.0,7.81
49.265336,-123.145823,10,289.9,1.7777777777777777,7.85
49.265442,-123.187738,10,317.2,1.6,7.5625
49.265605,-123.152566,10,328.0,1.9,8.22
49.2658,-123.20596,2,257.5,2.0,7.75
49.265939,-123.1129,10,383.7,1.7777777777777777,8.08
49.266314,-123.116011,10,404.1,1.6666666666666667,7.5200000000000005
49.266456,-123.100324,10,218.8,1.2,8.0
49.266476,-123.109389,10,356.8,1.4,8.05
49.266636,-123.183661,10,308.5,1.7,7.7333333333333325
49.266724,-123.104824,10,223.9,1.2,8.05
49.266725,-123.065925,10,327.5,1.8,8.129999999999999
49.266751,-123.073501,10,333.1,1.8,8.129999999999999
49.266774,-123.141135,10,282.1,1.8,8.02
49.266924,-123.173849,10,360.6,1.6,7.88
49.266969,-123.069936,10,160.2,1.8,8.129999999999999
49.267222,-123.153157,10,251.1,1.9,8.360000000000001
49.267266,-123.090786,10,692.1,1.5,7.7700000000000005
49.267628,-123.127698,10,587.0,2.125,7.88
49.267725,-123.11311,10,458.5,1.7777777777777777,7.7666666666666675
49.267859,-123.145782,10,262.7,1.5555555555555556,8.57
49.268216,-123.103168,10,196.4,1.1,7.959999999999999
49.268269,-123.147885,10,191.0,1.6666666666666667,8.48
49.268339,-123.157443,10,298.5,1.8,8.3
49.2685027,-123.0975014,10,407.6,1.2,7.94
49.268616,-123.069908,10,178.8,1.8,8.139999999999999
49.268837,-123.177633,10,502.7,1.7,8.022222222222222
49.26893,-123.11813,10,525.0,1.7777777777777777,7.9799999999999995
49.268974,-123.190701,10,570.7,1.6,7.5625
49.269361,-123.13782,10,264.9,1.8,8.14
49.269969,-123.109623,10,395.2,1.3333333333333333,8.15
49.27023,-123.10651,10,269.0,1.4444444444444444,8.23
49.27029,-123.135025,10,222.4,2.0,8.07
49.27033,-123.10275,10,289.6,1.3333333333333333,8.22
49.270684,-123.073562,10,361.0,1.8,8.18
49.270721,-123.146175,10,317.6,1.5,8.6
49.270783,-123.141564,10,350.2,1.8888888888888888,8.290000000000001
49.270877,-123.115103,10,494.1,2.25,8.209999999999999
49.270905,-123.126006,10,473.0,1.9,8.15
49.271044,-123.170661,10,531.1,1.4444444444444444,7.75
49.271082,-123.191458,10,736.8,1.4,7.828571428571428
49.271377,-123.069416,10,189.5,1.9,8.26
49.271471,-123.17731,10,673.4,1.5,7.92
49.271721,-123.104207,10,353.8,1.5555555555555556,8.26
49.271741,-123.155421,10,239.3,2.2,7.877777777777778
49.272172,-123.097978,10,551.7,1.5555555555555556,8.209999999999999
49.27247,-123.185643,10,726.7,1.7,7.522222222222222
49.272827,-123.147744,10,396.4,1.875,8.244444444444445
49.272969,-123.164325,10,604.7,1.5,8.166666666666666
49.273011,-123.159663,10,454.5,2.0,8.11111111111111
49.2731,-123.0732,10,297.7,2.0,8.07
49.273103,-123.069892,10,135.6,2.1,8.190000000000001
49.273355,-123.154493,10,248.0,1.8888888888888888,7.655555555555556
49.273471,-123.118016,10,264.6,2.4,8.45
49.273568,-123.129935,10,396.1,1.5555555555555556,8.25
49.273663,-123.127075,10,352.2,2.0,8.26
49.273691,-123.102232,10,463.2,1.5555555555555556,8.129999999999999
49.273777,-123.092723,10,670.1,1.7,8.322222222222221
49.273833,-123.114373,10,394.5,2.375,8.51
49.274232,-123.129998,10,384.9,1.6666666666666667,8.35
49.274566,-123.121817,10,127.9,2.4,8.46
49.274881,-123.069323,10,145.8,2.0,8.190000000000001
49.275295,-123.132585,10,363.1,1.6666666666666667,8.36
49.2756,-123.102661,10,404.5,1.5555555555555556,8.27
49.275679,-123.116963,10,243.3,2.4444444444444446,8.59
49.275683,-123.124388,10,209.4,2.1,8.459999999999999
49.275717,-123.142564,10,624.1,1.625,8.42
49.275882,-123.071865,10,243.5,1.9,8.01
49.275938,-123.145939,10,635.2,2.0,8.15
49.276115,-123.114496,10,293.0,2.25,8.51
49.276144,-123.151272,10,500.4,1.875,8.011111111111111
49.276294,-123.106534,10,523.1,1.625,8.620000000000001
49.276436,-123.11877,10,165.3,2.4,8.7
49.277141,-123.122589,10,201.5,2.1,8.65
49.277178,-123.13,10,252.4,1.7777777777777777,8.2
49.277333,-123.087359,10,714.6,1.5555555555555556,8.128571428571428
49.277436,-123.070427,10,251.9,1.7,8.11
49.277469,-123.081315,10,641.9,1.4,7.909999999999999
49.277483,-123.114279,10,276.3,2.0,8.51
49.277595,-123.09583,10,276.7,1.7,8.34
49.277615,-123.091654,10,485.0,1.6,8.389999999999999
49.277665,-123.073653,10,335.6,1.5,8.059999999999999
49.277844,-123.120942,10,210.9,2.0,8.7
49.278004,-123.105664,10,435.7,1.6,8.379999999999999
49.27808,-123.130557,10,211.0,1.8888888888888888,8.05
49.27821,-123.136972,10,465.0,1.75,8.040000000000001
49.279235,-123.087528,10,652.6,1.6666666666666667,8.18
49.279259,-123.119145,10,166.3,1.8571428571428572,8.36
49.279342,-123.101822,10,207.6,1.5,8.27
49.279369,-123.091241,10,482.2,1.6666666666666667,8.43
49.279739,-123.116251,10,166.1,2.0,8.41
49.279764,-123.110154,10,293.4,2.111111111111111,8.790000000000001
49.279821,-123.10802,10,336.1,1.7,8.78
49.279938,-123.127478,10,238.9,1.8,8.25
49.280197,-123.065859,10,379.2,1.4,7.95
49.280216,-123.117639,10,127.3,2.0,8.39
49.28026,-123.135244,10,277.6,1.625,7.970000000000001
49.280284,-123.097052,10,221.8,1.6,8.379999999999999
49.280332,-123.070068,10,370.3,1.4,7.75
49.280427,-123.074082,10,415.5,1.4,7.909999999999999
49.28062,-123.12482,10,206.2,2.4,8.35
49.280787,-123.115271,10,229.1,2.3333333333333335,8.440000000000001
49.280852,-123.084746,10,650.8,1.375,7.9875
49.280881,-123.130672,10,166.3,1.7777777777777777,8.09
49.280977,-123.035969,10,545.1,1.2857142857142858,6.571428571428571
49.28117,-123.104419,10,235.6,1.8,8.42
49.281301,-123.139108,10,508.9,1.5555555555555556,7.99
49.281506,-123.120101,10,192.2,2.3333333333333335,8.190000000000001
49.282087,-123.056909,10,220.7,1.7,7.970000000000001
49.282214,-123.114101,10,244.9,2.0,8.73
49.282224,-123.132778,10,193.7,1.6666666666666667,8.059999999999999
49.282409,-123.118541,10,206.7,2.6666666666666665,8.32
49.282503,-123.124697,10,141.5,2.5,8.28
49.282758,-123.122092,10,169.6,2.6666666666666665,8.16
49.282759,-123.106955,10,180.6,1.8,8.61
49.283227,-123.120523,10,198.2,2.6666666666666665,8.110000000000001
49.283236,-123.070443,10,532.2,1.4,7.62
49.283298,-123.142288,10,538.3,1.8888888888888888,7.99
49.283343,-123.131099,10,296.8,1.5555555555555556,8.05
49.283749,-123.136133,10,362.3,1.4444444444444444,8.14
49.283968,-123.061615,10,365.2,1.6,7.955555555555555
49.283986,-123.065264,10,465.7,1.5,8.03
49.283992,-123.091206,10,548.0,1.8888888888888888,8.559999999999999
49.284062,-123.095097,10,348.2,1.8888888888888888,8.620000000000001
49.284157,-123.099917,10,278.0,2.1,8.51
49.284554,-123.111031,10,216.6,1.8888888888888888,8.790000000000001
49.284605,-123.108662,10,243.5,2.0,8.84
49.284893,-123.128685,10,280.8,2.0,8.440000000000001
49.28512,-123.11242,10,236.4,1.6666666666666667,8.559999999999999
49.285253,-123.134356,10,368.9,1.5,8.4
49.28526,-123.141809,10,358.0,1.8888888888888888,7.7700000000000005
49.285512,-123.1384,10,319.9,1.8888888888888888,8.02
49.285575,-123.061575,10,482.4,1.6,7.955555555555555
49.2856698,-123.1125432,10,256.1,1.6666666666666667,8.56
49.285836,-123.127265,10,212.4,1.7,8.45
49.285871,-123.12105,10,194.4,2.2222222222222223,8.33
49.285953,-123.124066,10,189.5,1.8888888888888888,8.26
49.28602,-123.116624,10,201.2,1.6,8.25
49.28691,-123.128818,10,251.7,1.7,8.32
49.287097,-123.118551,10,198.5,1.8,8.2
49.287214,-123.11287,10,281.4,1.4444444444444444,8.222222222222221
49.287464,-123.060771,10,640.1,1.6666666666666667,7.955555555555555
49.287528,-123.142139,10,205.9,2.0,7.76
49.28763,-123.127245,10,258.2,1.8,8.379999999999999
49.287782,-123.12395,10,285.1,1.9,8.42
49.288011,-123.132006,10,229.8,1.7,8.48
49.28803,-123.142135,10,198.2,2.0,7.76
49.288444,-123.139203,10,133.0,1.875,7.659999999999999
49.288682,-123.11818,10,196.9,1.7,8.25
49.2890705989865,-123.138407369468,10,126.3,2.111111111111111,7.68
